idno,experiment_hash,epoch_seconds,fold,logits_threshold,wake_acc,sleep_acc,max_X,min_X,mean_X,median_X,std_X
1066528,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,0,0.8926451,0.028985507246376812,0.9500217296827467,1.0,0.0,0.004643339430634942,1.6068571479322902e-05,0.046330914212963765
1360686,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,1,0.16355687,0.045584045584045586,0.9499799438427597,1.0,0.0,0.007462601528313482,8.461959065777402e-05,0.061819684669494286
1449548,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,2,1.7545214,0.1621794871794872,0.9500393081761006,1.0,0.0,0.0074507931195330335,9.665160421350215e-05,0.06143211029271917
1455390,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,3,2.190373,0.45436507936507936,0.9499043245311902,1.0,0.0,0.008303233471209892,0.00022559739326667174,0.06079182009496943
1818471,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,4,1.1134322,0.7466666666666667,0.950070323488045,1.0,0.0,0.009113664894567887,0.0002248625482489973,0.057778510408762536
2598705,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,5,1.4206507,0.22,0.9499286224125625,1.0,0.0,0.009635484558220577,0.00038565033507937307,0.05545634587829117
2638030,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,6,0.6544961,0.10271002710027101,0.950060606060606,1.0,0.0,0.010976210186785592,0.00032038992068598863,0.07204360635423258
3509524,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,7,2.2034168,0.46540880503144655,0.9499540863177227,1.0,0.0,0.003574948145259364,0.0,0.041633795996451776
3997827,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,8,1.0514154,0.464,0.9499106823865666,1.0,0.0,0.007890151021911993,0.0005704911795294656,0.05653456366017783
4018081,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,9,0.51727796,0.0811111111111111,0.9499602227525855,1.0,0.0,0.008796320096159917,7.214940702972964e-06,0.06490668942396575
4314139,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,10,1.9512079,0.5352564102564102,0.9500194476857254,1.0,0.0,0.00995657085523584,0.0003721475252385777,0.06528416601832512
4426783,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,11,1.3146403,0.15285714285714286,0.9499816648331499,1.0,0.0,0.00823683935056409,0.0004968050157460675,0.05984214621969746
46343,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,12,2.1693022,0.4734126984126984,0.9500355366027008,1.0,0.0,0.007976327166637136,6.410065209541921e-07,0.05931665493149223
5132496,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,13,0.012677941,0.09595959595959595,0.9500386697602475,1.0,0.0,0.004974805647141215,6.105971164335542e-06,0.04876606409718375
5383425,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,14,2.1957796,0.425,0.9499108734402852,1.0,0.0,0.002330669563311125,0.0,0.036647093149450354
5498603,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,15,1.925017,0.35950155763239877,0.9499738356881214,1.0,0.0,0.010727689701266387,6.653914038368448e-05,0.0626852049961876
5797046,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,16,0.66482484,0.08691983122362869,0.9499029879705083,1.0,0.0,0.007601777935218141,0.0005986091211251046,0.0541822969170714
6220552,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,17,0.054131866,0.17051282051282052,0.9500739098300074,1.0,0.0,0.013317735508979718,0.0006355214900410483,0.0749270941858938
