experiment_id,test_id,wasa95
20250103-142314_71601e51,1066528,0.4492753623188406
20250103-142314_71601e51,1360686,0.6989247311827957
20250103-142314_71601e51,1449548,0.4536082474226804
20250103-142314_71601e51,1455390,0.20238095238095238
20250103-142314_71601e51,1818471,0.6
20250103-142314_71601e51,2598705,0.7142857142857143
20250103-142314_71601e51,2638030,0.4878048780487805
20250103-142314_71601e51,3509524,0.6153846153846154
20250103-142314_71601e51,3997827,0.88
20250103-142314_71601e51,4018081,0.352112676056338
20250103-142314_71601e51,4314139,0.2403846153846154
20250103-142314_71601e51,4426783,0.5072463768115942
20250103-142314_71601e51,46343,0.40476190476190477
20250103-142314_71601e51,5132496,0.75
20250103-142314_71601e51,5498603,0.22115384615384615
20250103-142314_71601e51,5797046,0.4177215189873418
20250103-142314_71601e51,6220552,0.2692307692307692
20250103-142314_71601e51,759667,0.47058823529411764
20250103-142314_71601e51,781756,0.06097560975609756
20250103-142314_71601e51,8000685,0.42424242424242425
20250103-142314_71601e51,8173033,0.7241379310344828
20250103-142314_71601e51,844359,0.37362637362637363
20250103-142314_71601e51,8530312,0.4605263157894737
20250103-142314_71601e51,8686948,0.8775510204081632
20250103-142314_71601e51,8692923,0.39090909090909093
20250103-142314_71601e51,9106476,0.10344827586206896
20250103-142314_71601e51,9618981,0.34408602150537637
20250103-142314_71601e51,9961348,0.6811594202898551
20250103-153529_a7bdbf14,1066528,0.2753623188405797
20250103-153529_a7bdbf14,1360686,0.3870967741935484
20250103-153529_a7bdbf14,1449548,0.36082474226804123
20250103-153529_a7bdbf14,1455390,0.27380952380952384
20250103-153529_a7bdbf14,1818471,0.4
20250103-153529_a7bdbf14,2598705,0.42857142857142855
20250103-153529_a7bdbf14,2638030,0.6097560975609756
20250103-153529_a7bdbf14,3509524,0.6923076923076923
20250103-153529_a7bdbf14,3997827,0.76
20250103-153529_a7bdbf14,4018081,0.9436619718309859
20250103-153529_a7bdbf14,4314139,0.25961538461538464
20250103-153529_a7bdbf14,4426783,0.6956521739130435
20250103-153529_a7bdbf14,46343,0.8928571428571429
20250103-153529_a7bdbf14,5132496,0.65625
20250103-153529_a7bdbf14,5498603,0.3942307692307692
20250103-153529_a7bdbf14,5797046,0.13924050632911392
20250103-153529_a7bdbf14,6220552,0.38461538461538464
20250103-153529_a7bdbf14,759667,0.7647058823529411
20250103-153529_a7bdbf14,781756,0.4878048780487805
20250103-153529_a7bdbf14,8000685,0.7575757575757576
20250103-153529_a7bdbf14,8173033,0.6206896551724138
20250103-153529_a7bdbf14,844359,0.5824175824175825
20250103-153529_a7bdbf14,8530312,0.3684210526315789
20250103-153529_a7bdbf14,8686948,0.9591836734693877
20250103-153529_a7bdbf14,8692923,0.7727272727272727
20250103-153529_a7bdbf14,9106476,0.1839080459770115
20250103-153529_a7bdbf14,9618981,0.3118279569892473
20250103-153529_a7bdbf14,9961348,0.5942028985507246
20250103-163747_a6e16cbc,1066528,0.38405797101449274
20250103-163747_a6e16cbc,1360686,0.7741935483870968
20250103-163747_a6e16cbc,1449548,0.29896907216494845
20250103-163747_a6e16cbc,1455390,0.11904761904761904
20250103-163747_a6e16cbc,1818471,0.9
20250103-163747_a6e16cbc,2598705,0.5
20250103-163747_a6e16cbc,2638030,0.6585365853658537
20250103-163747_a6e16cbc,3509524,0.6730769230769231
20250103-163747_a6e16cbc,3997827,0.84
20250103-163747_a6e16cbc,4018081,0.704225352112676
20250103-163747_a6e16cbc,4314139,0.2692307692307692
20250103-163747_a6e16cbc,4426783,0.6086956521739131
20250103-163747_a6e16cbc,46343,0.7380952380952381
20250103-163747_a6e16cbc,5132496,0.6875
20250103-163747_a6e16cbc,5498603,0.1346153846153846
20250103-163747_a6e16cbc,5797046,0.012658227848101266
20250103-163747_a6e16cbc,6220552,0.057692307692307696
20250103-163747_a6e16cbc,759667,0.7058823529411765
20250103-163747_a6e16cbc,781756,0.012195121951219513
20250103-163747_a6e16cbc,8000685,0.6363636363636364
20250103-163747_a6e16cbc,8173033,0.0
20250103-163747_a6e16cbc,844359,0.5604395604395604
20250103-163747_a6e16cbc,8530312,0.34210526315789475
20250103-163747_a6e16cbc,8686948,0.8163265306122449
20250103-163747_a6e16cbc,8692923,0.6909090909090909
20250103-163747_a6e16cbc,9106476,0.11494252873563218
20250103-163747_a6e16cbc,9618981,0.21505376344086022
20250103-163747_a6e16cbc,9961348,0.2753623188405797
20250106-071631_709c4801,1066528,0.5652173913043478
20250106-071631_709c4801,1360686,0.7311827956989247
20250106-071631_709c4801,1449548,0.27835051546391754
20250106-071631_709c4801,1455390,0.47619047619047616
20250106-071631_709c4801,1818471,1.0
20250106-071631_709c4801,2598705,0.5
20250106-071631_709c4801,2638030,0.44715447154471544
20250106-071631_709c4801,3509524,0.7692307692307693
20250106-071631_709c4801,3997827,0.92
20250106-071631_709c4801,4018081,0.7887323943661971
20250106-071631_709c4801,4314139,0.4326923076923077
20250106-071631_709c4801,4426783,0.782608695652174
20250106-071631_709c4801,46343,0.7976190476190477
20250106-071631_709c4801,5132496,0.6875
20250106-071631_709c4801,5498603,0.3173076923076923
20250106-071631_709c4801,5797046,0.27848101265822783
20250106-071631_709c4801,6220552,0.057692307692307696
20250106-071631_709c4801,759667,0.6470588235294118
20250106-071631_709c4801,781756,0.21951219512195122
20250106-071631_709c4801,8000685,0.5757575757575758
20250106-071631_709c4801,8173033,0.6206896551724138
20250106-071631_709c4801,844359,0.5934065934065934
20250106-071631_709c4801,8530312,0.34210526315789475
20250106-071631_709c4801,8686948,0.9183673469387755
20250106-071631_709c4801,8692923,0.7636363636363637
20250106-071631_709c4801,9106476,0.21839080459770116
20250106-071631_709c4801,9618981,0.3225806451612903
20250106-071631_709c4801,9961348,0.8405797101449275
20250106-110416_709c4801,1066528,0.42028985507246375
20250106-110416_709c4801,1360686,0.8387096774193549
20250106-110416_709c4801,1449548,0.3917525773195876
20250106-110416_709c4801,1455390,0.5952380952380952
20250106-110416_709c4801,1818471,0.9
20250106-110416_709c4801,2598705,0.35714285714285715
20250106-110416_709c4801,2638030,0.42276422764227645
20250106-110416_709c4801,3509524,0.75
20250106-110416_709c4801,3997827,0.84
20250106-110416_709c4801,4018081,0.8591549295774648
